"","m","p","v"
"1",50,99.8336106489185,"800"
"2",60,99.8336106489185,"800"
"3",70,99.8336106489185,"800"
"4",80,99.6672212978369,"800"
"5",90,99.5008319467554,"800"
"6",100,99.5008319467554,"800"
"7",110,99.5008319467554,"800"
"8",120,99.5008319467554,"800"
"9",130,99.5008319467554,"800"
"10",140,99.5008319467554,"800"
"11",150,99.5008319467554,"800"
"12",160,99.5008319467554,"800"
"13",170,99.5008319467554,"800"
"14",180,99.5008319467554,"800"
"15",190,99.5008319467554,"800"
"16",200,99.3344425956739,"800"
"17",210,99.1680532445923,"800"
"18",220,99.1680532445923,"800"
"19",230,98.6688851913478,"800"
"20",240,98.5024958402662,"800"
"21",250,97.6705490848586,"800"
"22",260,97.0049916805324,"800"
"23",270,95.8402662229617,"800"
"24",280,94.675540765391,"800"
"25",290,92.179700499168,"800"
"26",300,91.3477537437604,"800"
"27",310,89.5174708818636,"800"
"28",320,88.1863560732113,"800"
"29",330,86.6888519134775,"800"
"30",340,85.1913477537438,"800"
"31",350,83.0282861896839,"800"
"32",360,82.1963394342762,"800"
"33",370,79.8668885191348,"800"
"34",380,77.8702163061564,"800"
"35",390,76.0399334442596,"800"
"36",400,74.7088186356073,"800"
"37",410,72.8785357737105,"800"
"38",420,71.0482529118136,"800"
"39",430,69.3843594009983,"800"
"40",440,68.8851913477537,"800"
"41",450,67.2212978369384,"800"
"42",460,65.3910149750416,"800"
"43",470,64.5590682196339,"800"
"44",480,63.5607321131448,"800"
"45",490,61.3976705490849,"800"
"46",500,60.3993344425957,"800"
"47",50,99.8336106489185,"700"
"48",60,99.8336106489185,"700"
"49",70,99.8336106489185,"700"
"50",80,99.6672212978369,"700"
"51",90,99.5008319467554,"700"
"52",100,99.5008319467554,"700"
"53",110,99.5008319467554,"700"
"54",120,99.5008319467554,"700"
"55",130,99.5008319467554,"700"
"56",140,99.5008319467554,"700"
"57",150,99.5008319467554,"700"
"58",160,99.5008319467554,"700"
"59",170,99.5008319467554,"700"
"60",180,99.5008319467554,"700"
"61",190,99.1680532445923,"700"
"62",200,99.1680532445923,"700"
"63",210,99.0016638935108,"700"
"64",220,98.6688851913478,"700"
"65",230,97.8369384359401,"700"
"66",240,97.3377703826955,"700"
"67",250,96.5058236272879,"700"
"68",260,94.675540765391,"700"
"69",270,92.8452579034942,"700"
"70",280,91.6805324459235,"700"
"71",290,89.6838602329451,"700"
"72",300,88.8519134775374,"700"
"73",310,86.522462562396,"700"
"74",320,84.5257903494176,"700"
"75",330,82.8618968386023,"700"
"76",340,82.1963394342762,"700"
"77",350,80.0332778702163,"700"
"78",360,78.5357737104825,"700"
"79",370,76.3727121464226,"700"
"80",380,74.7088186356073,"700"
"81",390,72.7121464226289,"700"
"82",400,71.5474209650582,"700"
"83",410,70.5490848585691,"700"
"84",420,69.0515806988353,"700"
"85",430,67.0549084858569,"700"
"86",440,65.7237936772047,"700"
"87",450,64.891846921797,"700"
"88",460,63.7271214642263,"700"
"89",470,62.7287853577371,"700"
"90",480,61.0648918469218,"700"
"91",490,59.234608985025,"700"
"92",500,58.2362728785358,"700"
"93",50,99.8336106489185,"600"
"94",60,99.8336106489185,"600"
"95",70,99.8336106489185,"600"
"96",80,99.6672212978369,"600"
"97",90,99.5008319467554,"600"
"98",100,99.5008319467554,"600"
"99",110,99.5008319467554,"600"
"100",120,99.5008319467554,"600"
"101",130,99.5008319467554,"600"
"102",140,99.5008319467554,"600"
"103",150,99.5008319467554,"600"
"104",160,99.5008319467554,"600"
"105",170,99.1680532445923,"600"
"106",180,99.1680532445923,"600"
"107",190,99.0016638935108,"600"
"108",200,98.6688851913478,"600"
"109",210,98.0033277870216,"600"
"110",220,97.504159733777,"600"
"111",230,96.8386023294509,"600"
"112",240,94.675540765391,"600"
"113",250,93.5108153078203,"600"
"114",260,92.179700499168,"600"
"115",270,89.8502495840266,"600"
"116",280,88.3527454242928,"600"
"117",290,86.3560732113145,"600"
"118",300,84.5257903494176,"600"
"119",310,82.6955074875208,"600"
"120",320,81.5307820299501,"600"
"121",330,79.5341098169717,"600"
"122",340,77.7038269550749,"600"
"123",350,76.3727121464226,"600"
"124",360,75.540765391015,"600"
"125",370,73.3777038269551,"600"
"126",380,72.0465890183028,"600"
"127",390,69.7171381031614,"600"
"128",400,68.7188019966722,"600"
"129",410,67.720465890183,"600"
"130",420,66.2229617304492,"600"
"131",430,64.0599001663894,"600"
"132",440,63.2279534109817,"600"
"133",450,62.063227953411,"600"
"134",460,61.2312811980033,"600"
"135",470,59.4009983361065,"600"
"136",480,58.7354409317804,"600"
"137",490,56.5723793677205,"600"
"138",500,55.7404326123128,"600"
"139",50,99.8336106489185,"500"
"140",60,99.8336106489185,"500"
"141",70,99.8336106489185,"500"
"142",80,99.6672212978369,"500"
"143",90,99.5008319467554,"500"
"144",100,99.5008319467554,"500"
"145",110,99.5008319467554,"500"
"146",120,99.5008319467554,"500"
"147",130,99.5008319467554,"500"
"148",140,99.5008319467554,"500"
"149",150,99.5008319467554,"500"
"150",160,99.1680532445923,"500"
"151",170,99.0016638935108,"500"
"152",180,98.6688851913478,"500"
"153",190,98.0033277870216,"500"
"154",200,97.504159733777,"500"
"155",210,96.6722129783694,"500"
"156",220,95.0083194675541,"500"
"157",230,93.3444259567388,"500"
"158",240,92.179700499168,"500"
"159",250,90.6821963394343,"500"
"160",260,87.8535773710482,"500"
"161",270,85.5241264559068,"500"
"162",280,84.1930116472546,"500"
"163",290,82.5291181364393,"500"
"164",300,81.0316139767055,"500"
"165",310,78.5357737104825,"500"
"166",320,76.8718801996672,"500"
"167",330,75.540765391015,"500"
"168",340,74.2096505823627,"500"
"169",350,73.044925124792,"500"
"170",360,71.0482529118136,"500"
"171",370,69.2179700499168,"500"
"172",380,68.3860232945091,"500"
"173",390,66.7221297836938,"500"
"174",400,65.2246256239601,"500"
"175",410,64.3926788685524,"500"
"176",420,62.7287853577371,"500"
"177",430,61.3976705490849,"500"
"178",440,60.3993344425957,"500"
"179",450,58.7354409317804,"500"
"180",460,58.2362728785358,"500"
"181",470,57.0715474209651,"500"
"182",480,55.9068219633943,"500"
"183",490,54.0765391014975,"500"
"184",500,52.9118136439268,"500"
"185",50,99.8336106489185,"400"
"186",60,99.8336106489185,"400"
"187",70,99.8336106489185,"400"
"188",80,99.6672212978369,"400"
"189",90,99.5008319467554,"400"
"190",100,99.5008319467554,"400"
"191",110,99.5008319467554,"400"
"192",120,99.5008319467554,"400"
"193",130,99.5008319467554,"400"
"194",140,99.3344425956739,"400"
"195",150,99.1680532445923,"400"
"196",160,98.8352745424293,"400"
"197",170,98.0033277870216,"400"
"198",180,97.3377703826955,"400"
"199",190,96.5058236272879,"400"
"200",200,95.0083194675541,"400"
"201",210,93.8435940099834,"400"
"202",220,91.6805324459235,"400"
"203",230,89.018302828619,"400"
"204",240,87.1880199667221,"400"
"205",250,85.1913477537438,"400"
"206",260,83.69384359401,"400"
"207",270,81.198003327787,"400"
"208",280,79.5341098169717,"400"
"209",290,77.3710482529118,"400"
"210",300,76.3727121464226,"400"
"211",310,75.0415973377704,"400"
"212",320,72.7121464226289,"400"
"213",330,70.8818635607321,"400"
"214",340,69.2179700499168,"400"
"215",350,67.8868552412646,"400"
"216",360,66.8885191347754,"400"
"217",370,65.2246256239601,"400"
"218",380,64.3926788685524,"400"
"219",390,63.2279534109817,"400"
"220",400,62.396006655574,"400"
"221",410,61.7304492512479,"400"
"222",420,60.2329450915141,"400"
"223",430,58.0698835274542,"400"
"224",440,57.4043261231281,"400"
"225",450,56.0732113144759,"400"
"226",460,55.7404326123128,"400"
"227",470,54.9084858569052,"400"
"228",480,54.242928452579,"400"
"229",490,52.9118136439268,"400"
"230",500,51.414309484193,"400"
"231",50,99.8336106489185,"300"
"232",60,99.8336106489185,"300"
"233",70,99.8336106489185,"300"
"234",80,99.6672212978369,"300"
"235",90,99.5008319467554,"300"
"236",100,99.5008319467554,"300"
"237",110,99.5008319467554,"300"
"238",120,99.3344425956739,"300"
"239",130,99.1680532445923,"300"
"240",140,98.6688851913478,"300"
"241",150,98.1697171381032,"300"
"242",160,97.171381031614,"300"
"243",170,96.3394342762063,"300"
"244",180,94.8419301164726,"300"
"245",190,92.6788685524126,"300"
"246",200,90.5158069883527,"300"
"247",210,88.1863560732113,"300"
"248",220,86.8552412645591,"300"
"249",230,85.3577371048253,"300"
"250",240,82.6955074875208,"300"
"251",250,79.8668885191348,"300"
"252",260,77.5374376039933,"300"
"253",270,75.7071547420965,"300"
"254",280,74.3760399334443,"300"
"255",290,71.8801996672213,"300"
"256",300,70.8818635607321,"300"
"257",310,69.7171381031614,"300"
"258",320,67.8868552412646,"300"
"259",330,66.0565723793677,"300"
"260",340,65.2246256239601,"300"
"261",350,64.3926788685524,"300"
"262",360,63.8935108153078,"300"
"263",370,62.5623960066556,"300"
"264",380,61.0648918469218,"300"
"265",390,60.0665557404326,"300"
"266",400,58.9018302828619,"300"
"267",410,58.5690515806988,"300"
"268",420,57.0715474209651,"300"
"269",430,55.4076539101497,"300"
"270",440,54.5757071547421,"300"
"271",450,52.9118136439268,"300"
"272",460,52.4126455906822,"300"
"273",470,51.5806988352745,"300"
"274",480,50.2495840266223,"300"
"275",490,48.4193011647255,"300"
"276",500,47.0881863560732,"300"
"277",50,99.8336106489185,"200"
"278",60,99.8336106489185,"200"
"279",70,99.8336106489185,"200"
"280",80,99.6672212978369,"200"
"281",90,99.5008319467554,"200"
"282",100,99.5008319467554,"200"
"283",110,99.1680532445923,"200"
"284",120,98.6688851913478,"200"
"285",130,97.6705490848586,"200"
"286",140,96.8386023294509,"200"
"287",150,96.0066555740433,"200"
"288",160,94.1763727121464,"200"
"289",170,91.5141430948419,"200"
"290",180,89.5174708818636,"200"
"291",190,87.5207986688852,"200"
"292",200,85.1913477537438,"200"
"293",210,82.6955074875208,"200"
"294",220,80.0332778702163,"200"
"295",230,78.369384359401,"200"
"296",240,76.2063227953411,"200"
"297",250,74.0432612312812,"200"
"298",260,72.0465890183028,"200"
"299",270,70.3826955074875,"200"
"300",280,69.5507487520799,"200"
"301",290,67.720465890183,"200"
"302",300,67.0549084858569,"200"
"303",310,65.2246256239601,"200"
"304",320,63.2279534109817,"200"
"305",330,61.5640599001664,"200"
"306",340,60.7321131447587,"200"
"307",350,59.567387687188,"200"
"308",360,58.5690515806988,"200"
"309",370,57.4043261231281,"200"
"310",380,56.0732113144759,"200"
"311",390,54.7420965058236,"200"
"312",400,53.5773710482529,"200"
"313",410,52.9118136439268,"200"
"314",420,52.0798668885191,"200"
"315",430,50.9151414309484,"200"
"316",440,50.2495840266223,"200"
"317",450,48.7520798668885,"200"
"318",460,48.0865224625624,"200"
"319",470,46.7554076539101,"200"
"320",480,45.757071547421,"200"
"321",490,44.2595673876872,"200"
"322",500,43.261231281198,"200"
